Country/Region,Province/State,time,temperatureMin,temperatureMax
Afghanistan,,2019-12-31,32.96,48.36
Afghanistan,,2020-01-01,32.33,40.42
Afghanistan,,2020-01-02,28.9,46.53
Afghanistan,,2020-01-03,28.8,45.77
Afghanistan,,2020-01-04,32.84,40.84
Afghanistan,,2020-01-05,34.89,44.54
Afghanistan,,2020-01-06,28.1,44.15
Afghanistan,,2020-01-07,23.66,44.69
Afghanistan,,2020-01-08,26.65,48.08
Afghanistan,,2020-01-09,24.53,45.21
Afghanistan,,2020-01-10,30.78,40.02
Afghanistan,,2020-01-11,28.38,37.52
Afghanistan,,2020-01-12,22.92,34.74
Afghanistan,,2020-01-13,20.15,35.45
Afghanistan,,2020-01-14,23.12,39.13
Afghanistan,,2020-01-15,22.36,39.47
Afghanistan,,2020-01-16,13.98,36.85
Afghanistan,,2020-01-17,21.4,41.74
Afghanistan,,2020-01-18,28.47,44.11
Afghanistan,,2020-01-19,29.77,41.28
Afghanistan,,2020-01-20,30.25,40.31
Afghanistan,,2020-01-21,26.96,43.99
Afghanistan,,2020-01-22,28.13,44.49
Afghanistan,,2020-01-23,32.95,41.56
Afghanistan,,2020-01-24,27.93,43.36
Afghanistan,,2020-01-25,23.61,44.21
Afghanistan,,2020-01-26,25.34,44.22
Afghanistan,,2020-01-27,18.89,43.57
Afghanistan,,2020-01-28,18.55,42.89
Afghanistan,,2020-01-29,21.53,45.14
Afghanistan,,2020-01-30,24.28,43.93
Afghanistan,,2020-01-31,23.94,46.07
Afghanistan,,2020-02-01,24.89,48.22
Afghanistan,,2020-02-02,27.75,41.47
Afghanistan,,2020-02-03,19.35,42.53
Afghanistan,,2020-02-04,22.44,46.06
Afghanistan,,2020-02-05,24.43,47.59
Afghanistan,,2020-02-06,26.58,49.62
Afghanistan,,2020-02-07,29.76,51.43
Afghanistan,,2020-02-08,31.9,52.21
Afghanistan,,2020-02-09,35.17,39.92
Afghanistan,,2020-02-10,38.26,45.37
Afghanistan,,2020-02-11,40.31,44.86
Afghanistan,,2020-02-12,31.27,45.3
Afghanistan,,2020-02-13,28.31,50.9
Afghanistan,,2020-02-14,30.88,52.34
Afghanistan,,2020-02-15,28.96,51.78
Afghanistan,,2020-02-16,32.65,53.52
Afghanistan,,2020-02-17,34.44,53.64
Afghanistan,,2020-02-18,30.49,48.56
Afghanistan,,2020-02-19,27.44,52.16
Afghanistan,,2020-02-20,34.54,52.54
Afghanistan,,2020-02-21,38.35,56.65
Afghanistan,,2020-02-22,38.84,55.03
Afghanistan,,2020-02-23,39.44,55.83
Afghanistan,,2020-02-24,37.2,56.43
Afghanistan,,2020-02-25,41.86,59.64
Afghanistan,,2020-02-26,42.43,54.67
Afghanistan,,2020-02-27,38.86,52.43
Afghanistan,,2020-02-28,36.95,57.58
Afghanistan,,2020-02-29,38.87,61.18
Afghanistan,,2020-03-01,39.39,63.69
Afghanistan,,2020-03-02,43.66,54.47
Afghanistan,,2020-03-03,39.59,57.37
Afghanistan,,2020-03-04,38.03,51.52
Afghanistan,,2020-03-05,33.3,57.73
Afghanistan,,2020-03-06,35.28,55.55
Afghanistan,,2020-03-07,29.42,52.77
Afghanistan,,2020-03-08,36.75,47.48
Afghanistan,,2020-03-09,36.48,46.46
Afghanistan,,2020-03-10,28.68,51.64
Afghanistan,,2020-03-11,33.8,57.7
Afghanistan,,2020-03-12,35.97,61.97
Afghanistan,,2020-03-13,38.35,64.73
Afghanistan,,2020-03-14,43.03,64.6
Afghanistan,,2020-03-15,47.76,59.8
Afghanistan,,2020-03-16,45.62,62.54
Afghanistan,,2020-03-17,46.03,65.86
Afghanistan,,2020-03-18,45.59,65.74
Afghanistan,,2020-03-19,46.87,56.94
Afghanistan,,2020-03-20,43.03,64.59
Afghanistan,,2020-03-21,45.33,62.63
Afghanistan,,2020-03-22,46.27,53.95
Afghanistan,,2020-03-23,40.83,48.65
Afghanistan,,2020-03-24,38.22,55.04
Afghanistan,,2020-03-25,39.11,60.22
Afghanistan,,2020-03-26,41.4,59.99
Afghanistan,,2020-03-27,43.08,60.65
Afghanistan,,2020-03-28,41.8,61.43
Afghanistan,,2020-03-29,43.72,54.27
Afghanistan,,2020-03-30,44.87,57.71
Afghanistan,,2020-03-31,43.06,60.72
Afghanistan,,2020-04-01,40.91,65.32
Afghanistan,,2020-04-02,47.98,69.86
Afghanistan,,2020-04-03,48.84,66.11
Afghanistan,,2020-04-04,45.23,68.96
Afghanistan,,2020-04-05,46.53,62.57
Afghanistan,,2020-04-06,40.86,68.33
Afghanistan,,2020-04-07,46.28,68.82
Afghanistan,,2020-04-08,49.2,64.22
Afghanistan,,2020-04-09,48.66,68.66
Afghanistan,,2020-04-10,51.88,66.25
Afghanistan,,2020-04-11,52.53,72.53
Afghanistan,,2020-04-12,54.7,68.34
Afghanistan,,2020-04-13,48.51,60.81
Afghanistan,,2020-04-14,44.27,63.72
Afghanistan,,2020-04-15,48.69,60.74
Afghanistan,,2020-04-16,49.71,65.06
Afghanistan,,2020-04-17,47.94,67.68
Afghanistan,,2020-04-18,48.01,66.55
Afghanistan,,2020-04-19,47.27,68.84
Afghanistan,,2020-04-20,48.9,73.77
Albania,,2019-12-31,32.8,51.43
Albania,,2020-01-01,29.8,48.89
Albania,,2020-01-02,32.39,54.15
Albania,,2020-01-03,36.11,52.6
Albania,,2020-01-04,34.02,48.53
Albania,,2020-01-05,31.17,44.55
Albania,,2020-01-06,29.21,47.03
Albania,,2020-01-07,31.09,50.75
Albania,,2020-01-08,32.16,53.52
Albania,,2020-01-09,33.28,54.59
Albania,,2020-01-10,38.4,52.39
Albania,,2020-01-11,39.33,47.25
Albania,,2020-01-12,39.13,58.0
Albania,,2020-01-13,38.04,56.71
Albania,,2020-01-14,37.88,57.21
Albania,,2020-01-15,38.89,60.33
Albania,,2020-01-16,36.23,56.82
Albania,,2020-01-17,36.93,56.22
Albania,,2020-01-18,38.05,53.88
Albania,,2020-01-19,35.61,53.94
Albania,,2020-01-20,32.57,55.48
Albania,,2020-01-21,35.48,54.25
Albania,,2020-01-22,33.61,56.58
Albania,,2020-01-23,36.38,56.85
Albania,,2020-01-24,39.18,55.56
Albania,,2020-01-25,44.16,55.1
Albania,,2020-01-26,44.99,51.59
Albania,,2020-01-27,43.77,52.83
Albania,,2020-01-28,45.99,51.44
